market_id,question,description,slug,active,closed,created_at,end_date,volume,liquidity,clob_token_ids,condition_id,keyword_match
111,Which party will win the U.S. Senate special election in Georgia? (Loeffler - R vs Warnock - D),"This is a market on which party will win the US Senate special election in Georgia, taking place on January 5th, 2021. Currently, the candidates for this election are Kelly Loeffler on the Republican ticket, and Raphael Warnock on the Democratic ticket. If either of these candidates are no longer running, the market will resolve based on which party wins, Republican (Loeffler) or Democratic (Warnock). The linked PredictIt question is the basis for the creation of this market and will be referenc",which-party-will-win-the-u-s-senate-special-election-in-georgia-loeffler-r-vs-warnock-d,True,True,,,237532.290807,45.370082,"[""115566293947619712151184657138072930170571669215773957020627718393784151259451"", ""30174950236456814806351563015322539699813626619333757060476182385381649549674""]",0x829b85b2ad61476ce1a92364f1c1c61ad53487b9476d13397ef346beebda1200,war
7716,Will Donald Trump pardon Edward Snowden?,"This is a market on if Donald Trump will pardon Edward Snowden prior to the end of his current presidential term (January 21st, 2021). In the event that Donald Trump does pardon Edward Snowden, this will be recorded by the Department of Justice here: https://www.justice.gov/pardon/pardons-granted-president-donald-trump. If the pardon is issued after the specified date, January 21st, 2021, this market will resolve to “No.” This market specifically requires the Presidential pardon to be issued dur",will-donald-trump-pardon-edward-snowden,True,True,,,47949.009134,0,"[""70762307145702102946841698513947115056594943160858286143784364229998239614332"", ""93881785081210555455333793936965050060987735732750830375663974587929516688845""]",0xf31a2f0e144551495f5cbef228b2d5362591f359884ae82000d17698e7bf45e9,war
7740,Will any Electoral College Certificates of Vote be formally challenged in Congress?,"This market is on if any Electoral College Certificate of Vote will be the subject of formal objection when Congress meets in joint Session to count the electoral votes cast for President and Vice President in the 2020 election. A ""formal objection"" must be made in writing and be signed by at least one Senator and one member of the House of Representatives, per the provisions of 3 U.S.C. §15. Other public statements or efforts to challenge one or more Certificates of Votes that do not meet the p",will-any-electoral-certificates-be-formally-challenged-in-congress,True,True,,,265340.926545,0,"[""20896645714611023047650427900512525015562019607530394106731524268982678588431"", ""114859116576199498466844746839789381500680357342049531638866544180667094401952""]",0xe9b05f9f28541aa6e0ef301170590bc55f9d7099378f7c7674a83b42d799f4a4,nato
7747,Which party will control the senate?,"This is a market on which party will control the senate following the results of the 2020 election as well as runoffs and special elections. The linked PredictIt question is the basis for the creation of this market and will be referenced as the leading resolution source,  https://www.predictit.org/markets/detail/4366. As stated at the link provided, “At 11:59:59 p.m. (ET) on January 31, 2021, the number of U.S. senators who were elected with a ballot-listed or otherwise identifiable affiliation",which-party-will-control-the-senate,True,True,,,304097.469926,6.263726,"[""86319617549237389749535092624564415750738060007072426106450832072261924300026"", ""26373209594430159015858620276610376143472615279671561512768645695488673538295""]",0xe4efc9fa3b52765ddd4fb07523d9ec9be09e453324ebdaafa61f4cb44d8bf289,nato
57337,How many Senators will vote to convict Donald Trump on incitement by March 1?,"This is a market on the number of U.S. Senators who will vote to convict Donald J. Trump on the charge of incitement of insurrection prior to March 1, 2021. If no such vote takes place prior to the resolution date, or if Trump is acquitted via voice vote or another procedure that does not result in the recording of a tally of votes, “52 or fewer"" will resolve to “Yes"". Should such a vote result in the conviction of Trump via voice vote or other procedure that does not result in the recording of ",how-many-senators-will-vote-to-convict-donald-trump-on-incitement-by-march-1,True,True,,,229323.537104,0.812904,"[""102344937475605556514458598902493049030424689515233216543355240639243651561200"", ""27142851747908883742238221669842234579451614757846325728088671964640411234373"", ""74300374642685647420204657600765103047356116728379830774326069128765214986646"", ""20304260402715299748108877480294215500812242334685637065574329790560083906626"", ""35057027325029311238584920367011621557895570929247411567227875717444049495184""]",0x0f0194c3dfcf5a40939044b3ce41e70041c8d2af2817070c488c271b51df02b5,nato
64555,Will the Warriors or the Suns win their January 28th matchup?,"This is a market on which team will win the January 28th, 2021 matchup between the Golden State Warriors and the Phoenix Suns. In the event this game is delayed for whatever reason, the resolution of this market will be delayed until the game takes place. In the extraordinarily unlikely event the game is canceled altogether, the market will resolve to 50/50. In the event of overtime, this market will resolve to the eventual winner. Results of this market will be decided by official scores availa",will-the-warriors-or-the-suns-win-their-january-28th-matchup,True,True,,,71199.595487,0.000089,"[""50672659941961687024059499131368940116382049873273728771490929238103262549314"", ""107566847670182590906206830968158857354280511681341521040204464438858859083912""]",0x2a71b9766bd607334bc24b398ff53dd3113aa92611acbfd443f2419d1fd0aa4f,war
70321,Will the Warriors or the Celtics win their February 2nd matchup?,"This is a market on which team will win the February 2nd, 2021 matchup between the Golden State Warriors and the Boston Celtics. In the event this game is delayed for whatever reason, the resolution of this market will be delayed until the game takes place. In the extraordinarily unlikely event the game is canceled altogether, the market will resolve to 50/50. In the event of overtime, this market will resolve to the eventual winner. Results of this market will be decided by official scores avai",will-the-warriors-or-the-celtics-win-their-february-2nd-matchup,True,True,,,17507.410224,0.000086,"[""53670793783733470151808699345881930986475281344627401178134521169930286301660"", ""105273737291381195036333860198940171432463529819898603481631401004532753293045""]",0xfc9b615111672de2bbdaa14ccc305c5a2e6bbf433f9de8ec51223416401f5318,war
85120,Will the Nets or the Warriors win their February 13th matchup?,"This is a market on which team will win the February 13th, 2021 matchup between the Brooklyn Nets and the Golden State Warriors. In the event this game is delayed for whatever reason, the resolution of this market will be delayed until the game takes place. In the extraordinarily unlikely event the game is canceled altogether, the market will resolve to 50/50. In the event of overtime, this market will resolve to the eventual winner. Results of this market will be decided by official scores avai",will-the-nets-or-the-warriors-win-their-february-13th-matchup,True,True,,,15499.621118,0.00011,"[""6036816472637403667862152337315936341767451650037220668556435398681495409956"", ""82970161934614224573627965627203503694735784996467519684444856718652368683526""]",0x39120815a43ab9c445666dff24294780fe104fdbb0e14b030fd307fef52d2d81,war
89627,Will the Heat or the Warriors win their February 17th matchup?,"This is a market on which team will win the February 17th, 2021 matchup between the Miami Heat and the Golden State Warriors. In the event this game is delayed for whatever reason, the resolution of this market will be delayed until the game takes place. In the extraordinarily unlikely event the game is canceled altogether, the market will resolve to 50/50. In the event of overtime, this market will resolve to the eventual winner. Results of this market will be decided by official scores availab",will-the-heat-or-the-warriors-win-their-february-17th-matchup,True,True,,,19566.177481,0.070725,"[""31440770221890515013066560991035860249016956835717731492605347465800178410745"", ""6801235419402458047354877194840086075026141342621078332277820575901465205117""]",0x543fc827f4c65a99fe6bbcdd79a230321c71a2b46e1c4d057fca7ed896e2b97f,war
119044,Will the 2021 Tokyo Olympics take place?,"This is a market on whether the 2021 Tokyo Olympics will take place. This market will resolve to “Yes” if, by the resolution date, August 9, 2021, at least 15 total medals have been awarded. This market will resolve to “No” otherwise. The resolution source for this market will be the results page of the official website of the International Olympic Committee, https://www.olympic.org/olympic-results. This market will resolve immediately upon satisfaction of the market conditions. In the event of ",will-the-2021-tokyo-olympics-take-place,True,True,,,197836.895401,635.355282,"[""47586138283012845720660363502913331497969667535247559984336524273250833212928"", ""88180548008470484428519548664959879087457228983683056973294037286276880077602""]",0x4460fab1b453c3220f1c85780ed14cfc9e570f2f786c37e3ad619b53d62a0b0d,war
120003,"Will Benjamin Netanyahu remain prime minister of Israel through June 30, 2021?","This is a market on whether Benjamin Netanyahu will remain prime minister of Israel through the resolution date, June 30, 2021 12:00 PM ET. This market will resolve to “Yes” if Benjamin Netanyahu remains prime minister of Israel through to the resolution date, and “No” otherwise. If, at any point, Netanyahu is not the prime minister of Israel, this market will resolve immediately. The resolution source for this market will be the United Nations’ Protocol and Liaison Service’s list of heads of st",will-benjamin-netanyahu-remain-prime-minister-of-israel-through-june-30-2021,True,True,,,163540.059811,1773.943578,"[""4764842916462157287738418815193165769775706842468360015637456523413749678364"", ""60746995446126444881122884468632478444639071490773182750920065820822712887585""]",0xb62f71aef4c9972ddb75ec977b48156e1cc72e30f0e36b0f12c14de7fd94c777,israel
123698,Will Dortmund or Man City advance to the semi-final of the Champions League?,"This is a market on which team will win the Champions League quarter-final draw between Borussia Dortmund and Manchester City F.C. This market will resolve to whichever wins on aggregate over the two legs and advances to the semi-final. In the event this draw is delayed for whatever reason, the resolution of this market will be delayed until the game takes place. In the extraordinarily unlikely event the draw is canceled altogether, the market will resolve to 50/50. In the event of ambiguity in ",will-dortmund-or-man-city-advance-to-the-semi-final-of-the-champions-league,True,True,,,315.084677,50.000015,"[""96313071183604316932953381455289806029329614718496327362617403892192082821450"", ""110347761632720203487766666716649486642247700753890740926910847630969682522791""]",0xf98b28d4a71d2f67b29c6c7dbe0e4e233a5322224b0fb42a1972703834c93ea8,russia
130144,What will Edward Snowden’s NFT “Stay Free” sell for at auction?,"This is a market on the final sale price in $USD for Edward Snowden’s “Stay Free”, currently on auction at https://foundation.app/Snowden/stay-free-edward-snowden-2021-24437.

The brackets are:
- Less than $250,000
- $250,000-$500,000
- $500,000-$750,000
- $750,000-$1M
- $1M-$2M
- $2M or More

Each bracket is inclusive on the lower value, and exclusive on the upper value. For instance, if the final USD sale price was $250,000, the market would resolve to the “250,000-500,000” bracket. The resolu",what-will-edward-snowdens-nft-stay-free-sell-for-at-auction,True,True,,,5193.266077,1123.187862,"[""90000728906494197796705212758112669649696373223837569833809576265060258140141"", ""89026212038520106310198669038003884365107746743530348664867821149321440127566"", ""46047528235376867163662229006450867418624108393559823260368297644862959433559"", ""111175454106783520262413275754843609593045076373218590854587815587237795289009"", ""52911218099778720143164381948673075857693409880805731418900844312410308765938"", ""110841527062305488662692464906731356444355081821723777405391587038843680121944""]",0xf742ad08d4a6296cd56a86d273cae231b3645076529c9ff0c184dbf30a2361d1,war
